"Participant","Stimulus","Trial_dur","Tracking_ratio","Trial","Blank_fix_count","Blank_fix_time","Blanks_fix_time_pct","Image_fix_count","Image_fix_time","Image_fix_time_pct","Text_fix_count","Text_fix_time","Text_fix_time_pct","Fix_count","Total_fix_dur","Saccade_count","Total_saccade_dur","Total_saccade_amp","Total_saccade_velocity","Blink_count","Condition","max_text_time","ws_Text","ws_Image","ws_dash","Text_Image","Text_ws","Text_dash","Image_Text","Image_ws","Image_dash","dash_Image","dash_Text","dash_ws","weighted_text_image","weighted_alt","total_alt","Version"
"Y29","13 partially separated.jpg",13607.3,97.9,"Trial007",1,166.9,1.2,10,3071.7,22.6,24,9114.3,67,35,12353,35,851.4,68,2635.8,2,"partial",4625.9,0,0,0,2,0,0,2,1,0,0,0,0,0.668909825033647,2.08613728129206,7,3
"Y29","14-15 partially separated.jpg",15476.7,95.8,"Trial008",0,0,0,9,3605.4,23.3,22,10516.9,68,31,14122.2,29,667.7,50.6,1544.9,3,"partial",2638.6,5,0,0,2,5,1,2,0,0,0,1,0,0.905882352941176,7.50705882352941,18,3
"Y40","2-3 standard.jpg",150929.8,84.2,"Trial001",9,2687.7,1.8,98,57053.6,37.8,86,58612.7,38.8,195,119605.9,166,8180.8,466.4,7882,35,"standard",4809.6,69,66,1,25,73,39,28,61,24,22,41,2,19.3772246941046,281.788793103448,453,3
"Y40","4 standard.jpg",44230.2,91.5,"Trial002",4,868,2,23,5762.2,13,66,30844.7,69.7,93,37475,85,2891,222.6,3538.3,9,"standard",10470.9,10,8,3,7,11,14,8,6,8,8,14,3,2.28894806924101,64.0430537061695,102,3
"Y40","5 standard.jpg",87178.7,84.1,"Trial003",1,100.2,0.1,44,11382.7,13.1,77,54524.9,62.5,122,66007.8,115,6165.8,558,6919.7,16,"standard",8600.5,19,13,1,36,19,14,38,14,6,8,13,0,9.54814253222138,62.9987364164771,183,3
"Y40","6-7 standard.jpg",136971.3,94.1,"Trial004",1,100.1,0.1,90,30791.3,22.5,84,86614.9,63.2,176,117690,176,7925.2,649.9,11862,27,"standard",9886.4,19,9,2,23,14,27,18,15,8,9,27,1,11.1301088954886,83.1047942299533,174,3
"Y40","8-9 partially separated.jpg",125043,61.1,"Trial005",81,18883.7,15.1,65,15352.7,12.3,91,27708.1,22.2,238,62428.8,134,6016.7,683.8,10940.2,141,"partial",2154.3,58,1,100,7,55,95,6,3,10,10,94,101,2.26001040041602,208.48751950078,542,3
"Y40","12 partially separated.jpg",85911.1,86,"Trial006",21,3288.7,3.8,69,14875.4,17.3,104,37108.7,43.2,194,55272.9,173,13772.2,1018.2,11170,32,"partial",5811.6,27,5,6,2,30,15,4,3,26,26,16,5,1.08878923766816,84.8636771300448,167,3
"Y40","13 partially separated.jpg",69911.2,82.7,"Trial007",18,8334.1,11.9,44,8564.9,12.3,68,31495.5,45.1,130,48394.6,117,7063.1,671.6,8375.5,22,"partial",10153.6,14,2,11,4,13,17,5,1,6,6,16,13,1.67077344284737,67.4524298425736,110,3
"Y40","14-15 partially separated.jpg",98176.9,72.8,"Trial008",34,14959.1,15.2,48,10863.9,11.1,85,33936.1,34.6,167,59759.1,124,7378.7,764.7,9990.9,58,"partial",2471.6,50,4,34,3,46,62,3,5,11,11,59,37,1.07444168734491,140.343258891646,327,3
"Y44","2-3 standard.jpg",22502.5,88.7,"Trial001",3,584.3,2.6,9,1936.1,8.6,44,15574.9,69.2,57,18178.8,49,1819.5,169.9,2356.4,9,"standard",5895.1,2,3,0,4,2,7,5,2,0,0,6,1,2.03642987249545,22.33970856102,34,3
"Y44","4 standard.jpg",18952.5,89.7,"Trial002",0,0,0,3,608.2,3.2,35,15233.5,80.4,38,15841.8,31,585.6,18.3,876.2,8,"standard",13142.9,0,0,0,2,0,2,1,0,1,1,2,0,0.987460815047022,7.3312434691745,11,3
"Y44","5 standard.jpg",12207.8,87.5,"Trial003",0,0,0,20,4554.5,37.3,13,3708.3,30.4,33,8262.7,34,2271.4,217.6,2440.5,3,"standard",2621.9,1,2,1,8,2,1,8,2,0,0,2,0,3.9859437751004,15.9799196787149,29,3
"Y44","6-7 standard.jpg",36569.8,91.7,"Trial004",4,484,1.3,40,6812.9,18.6,62,15071.7,41.2,106,22368.6,104,9781.7,914.2,6690.1,12,"standard",3757.5,2,7,2,14,3,2,14,6,3,2,3,2,7.18966789667897,38.0464944649447,62,3
"Y44","8-9 partially separated.jpg",20463.8,92.9,"Trial005",0,0,0,4,684.5,3.3,42,16391.5,80.1,46,17075.9,45,1755.4,159,3436.3,5,"partial",7398.1,4,0,0,2,4,1,2,0,0,0,1,0,0.561165048543689,8.06504854368932,16,3
"Y44","12 partially separated.jpg",15986.2,87.7,"Trial006",3,540.7,3.4,14,2693.6,16.8,34,9082.6,56.8,51,12316.9,46,1388.6,83.5,2370.7,6,"partial",3540.4,3,2,0,4,3,2,4,2,1,1,2,0,1.68951612903226,14.9744623655914,26,3
